Home,Home Win %,Home Odds,Away,Away Win %,Away Odds
Atlanta Hawks,0.37878045,2.51,Dallas Mavericks,0.6212195,1.53
Atlanta Hawks,0.36984584,2.57,Los Angeles Clippers,0.63015413,1.51
Atlanta Hawks,0.8285157,1.15,Cleveland Cavaliers,0.17148429,5.54
Atlanta Hawks,0.3303202,2.88,Oklahoma City Thunder,0.66967976,1.42
Atlanta Hawks,0.48279846,1.97,Washington Wizards,0.51720154,1.84
Atlanta Hawks,0.90928036,1.04,Los Angeles Lakers,0.09071964,10.47
Atlanta Hawks,0.8999449,1.06,Sacramento Kings,0.1000551,9.49
Atlanta Hawks,0.977216,0.97,Utah Jazz,0.022783995,41.7
Atlanta Hawks,0.7117759,1.33,Charlotte Bobcats,0.2882241,3.3
Atlanta Hawks,0.20310454,4.68,Golden State Warriors,0.79689544,1.19
Atlanta Hawks,0.91900593,1.03,Indiana Pacers,0.08099407,11.73
Atlanta Hawks,0.45051846,2.11,Houston Rockets,0.5494815,1.73
Atlanta Hawks,0.14096971,6.74,Brooklyn Nets,0.8590303,1.11
Atlanta Hawks,0.5760597,1.65,Miami Heat,0.4239403,2.24
Atlanta Hawks,0.13925295,6.82,San Antonio Spurs,0.86074704,1.1
Atlanta Hawks,0.8722448,1.09,Minnesota Timberwolves,0.12775522,7.44
Atlanta Hawks,0.67050207,1.42,Indiana Pacers,0.32949793,2.88
Atlanta Hawks,0.69438004,1.37,Memphis Grizzlies,0.30561996,3.11
Atlanta Hawks,0.18208405,5.22,Washington Wizards,0.8179159,1.16
Atlanta Hawks,0.50863755,1.87,New York Knicks,0.49136245,1.93
Atlanta Hawks,0.2779643,3.42,Chicago Bulls,0.7220357,1.32
Atlanta Hawks,0.3401039,2.79,Milwaukee Bucks,0.65989614,1.44
Atlanta Hawks,0.49472708,1.92,Denver Nuggets,0.5052729,1.88
Atlanta Hawks,0.5507618,1.72,Toronto Raptors,0.44923818,2.11
Atlanta Hawks,0.43010086,2.21,New Orleans Pelicans,0.56989914,1.67
Atlanta Hawks,0.32462308,2.93,Phoenix Suns,0.6753769,1.41
Atlanta Hawks,0.26696327,3.56,Portland Trail Blazers,0.73303676,1.3
Atlanta Hawks,0.17383485,5.46,Philadelphia 76ers,0.82616514,1.15
Atlanta Hawks,0.10933655,8.69,Chicago Bulls,0.89066344,1.07
Atlanta Hawks,0.32812235,2.9,Cleveland Cavaliers,0.6718776,1.41
Atlanta Hawks,0.093757585,10.13,Detroit Pistons,0.90624243,1.05
Atlanta Hawks,0.9186355,1.03,Boston Celtics,0.08136451,11.68
Atlanta Hawks,0.39529693,2.4,Miami Heat,0.60470307,1.57
Atlanta Hawks,0.20812835,4.56,Charlotte Bobcats,0.79187167,1.2
Atlanta Hawks,0.7451034,1.27,Indiana Pacers,0.25489658,3.73
Atlanta Hawks,0.7835484,1.21,New York Knicks,0.21645159,4.39
Atlanta Hawks,0.5381247,1.77,Utah Jazz,0.46187532,2.06
Atlanta Hawks,0.65622807,1.45,Miami Heat,0.34377193,2.76
Atlanta Hawks,0.33442318,2.84,Los Angeles Lakers,0.6655768,1.43
Atlanta Hawks,0.8322809,1.14,Detroit Pistons,0.16771913,5.66
Atlanta Hawks,0.31279996,3.04,Toronto Raptors,0.68720007,1.38
Atlanta Hawks,0.8350921,1.14,New Orleans Pelicans,0.16490787,5.76
Atlanta Hawks,0.92611164,1.03,Charlotte Hornets,0.07388836,12.86
Atlanta Hawks,0.8535161,1.11,Boston Celtics,0.1464839,6.49
Atlanta Hawks,0.8084738,1.18,Denver Nuggets,0.19152617,4.96
Atlanta Hawks,0.9474862,1.0,Philadelphia 76ers,0.05251378,18.09
Atlanta Hawks,0.7096235,1.34,Orlando Magic,0.29037648,3.27
Atlanta Hawks,0.65901184,1.44,Chicago Bulls,0.34098816,2.79
Atlanta Hawks,0.66917187,1.42,Los Angeles Clippers,0.33082813,2.87
Atlanta Hawks,0.4796016,1.98,Milwaukee Bucks,0.5203984,1.83
Atlanta Hawks,0.70492953,1.35,Cleveland Cavaliers,0.29507047,3.22
Atlanta Hawks,0.8286456,1.15,Memphis Grizzlies,0.17135441,5.54
Atlanta Hawks,0.95668465,0.99,Washington Wizards,0.04331535,21.93
Atlanta Hawks,0.8949079,1.06,Detroit Pistons,0.10509211,9.04
Atlanta Hawks,0.89468724,1.06,Indiana Pacers,0.105312765,9.02
Atlanta Hawks,0.590202,1.61,Oklahoma City Thunder,0.40979803,2.32
Atlanta Hawks,0.9754782,0.97,Minnesota Timberwolves,0.024521828,38.74
Atlanta Hawks,0.93437773,1.02,Brooklyn Nets,0.06562227,14.48
Atlanta Hawks,0.9192843,1.03,Portland Trail Blazers,0.080715716,11.77
Atlanta Hawks,0.8847647,1.07,Philadelphia 76ers,0.11523533,8.24
Atlanta Hawks,0.7612586,1.25,Washington Wizards,0.2387414,3.98
Atlanta Hawks,0.48645556,1.95,Golden State Warriors,0.51354444,1.85
Atlanta Hawks,0.40065348,2.37,Toronto Raptors,0.5993465,1.59
Atlanta Hawks,0.5520377,1.72,Dallas Mavericks,0.44796228,2.12
Atlanta Hawks,0.52618396,1.81,Orlando Magic,0.47381604,2.0
Atlanta Hawks,0.4379202,2.17,Houston Rockets,0.5620798,1.69
Atlanta Hawks,0.6554735,1.45,Cleveland Cavaliers,0.34452653,2.76
Atlanta Hawks,0.6256099,1.52,Sacramento Kings,0.37439013,2.54
Atlanta Hawks,0.3104153,3.06,San Antonio Spurs,0.68958473,1.38
Atlanta Hawks,0.94369537,1.01,Miami Heat,0.056304634,16.87
Atlanta Hawks,0.8470131,1.12,Milwaukee Bucks,0.15298688,6.21
Atlanta Hawks,0.3328332,2.85,Brooklyn Nets,0.6671668,1.42
Atlanta Hawks,0.95880514,0.99,Phoenix Suns,0.041194856,23.06
Atlanta Hawks,0.99552417,0.96,Charlotte Hornets,0.004475832,95.0
Atlanta Hawks,0.8737672,1.09,New York Knicks,0.1262328,7.53
Atlanta Hawks,0.18605721,5.11,Detroit Pistons,0.8139428,1.17
Atlanta Hawks,0.8250355,1.15,Charlotte Hornets,0.17496449,5.43
Atlanta Hawks,0.90464044,1.05,Brooklyn Nets,0.095359564,9.96
Atlanta Hawks,0.96492577,0.98,Washington Wizards,0.035074234,27.09
Atlanta Hawks,0.42479238,2.24,Minnesota Timberwolves,0.5752076,1.65
Atlanta Hawks,0.7636576,1.24,New Orleans Pelicans,0.23634237,4.02
Atlanta Hawks,0.72032505,1.32,Utah Jazz,0.27967495,3.4
Atlanta Hawks,0.54736686,1.74,Sacramento Kings,0.45263314,2.1
Atlanta Hawks,0.858425,1.11,Boston Celtics,0.14157498,6.71
Atlanta Hawks,0.3292434,2.89,Oklahoma City Thunder,0.6707566,1.42
Atlanta Hawks,0.29819474,3.19,Toronto Raptors,0.70180523,1.35
Atlanta Hawks,0.71720845,1.32,Los Angeles Lakers,0.28279155,3.36
Atlanta Hawks,0.18655023,5.09,San Antonio Spurs,0.81344974,1.17
Atlanta Hawks,0.46397147,2.05,Miami Heat,0.5360285,1.77
Atlanta Hawks,0.8703574,1.09,Philadelphia 76ers,0.1296426,7.33
Atlanta Hawks,0.87669045,1.08,Portland Trail Blazers,0.12330955,7.7
Atlanta Hawks,0.47891325,1.98,Detroit Pistons,0.52108675,1.82
Atlanta Hawks,0.70830035,1.34,New York Knicks,0.29169965,3.26
Atlanta Hawks,0.3201007,2.97,New York Knicks,0.67989933,1.4
Atlanta Hawks,0.5459488,1.74,Chicago Bulls,0.4540512,2.09
Atlanta Hawks,0.8273267,1.15,Brooklyn Nets,0.17267329,5.5
Atlanta Hawks,0.8166952,1.16,Orlando Magic,0.18330479,5.18
Atlanta Hawks,0.3387265,2.8,LA Clippers,0.6612735,1.44
Atlanta Hawks,0.46302953,2.05,Dallas Mavericks,0.5369705,1.77
Atlanta Hawks,0.31429517,3.02,Indiana Pacers,0.6857048,1.39
Atlanta Hawks,0.7387572,1.29,Orlando Magic,0.2612428,3.64
Atlanta Hawks,0.7087005,1.34,Miami Heat,0.29129952,3.26
Atlanta Hawks,0.4322312,2.2,Milwaukee Bucks,0.5677688,1.67
Atlanta Hawks,0.6054952,1.57,Golden State Warriors,0.3945048,2.41
Atlanta Hawks,0.43337098,2.19,Chicago Bulls,0.56662905,1.68
Atlanta Hawks,0.71558225,1.33,Charlotte Hornets,0.28441775,3.34
Atlanta Hawks,0.61433524,1.55,Memphis Grizzlies,0.38566476,2.46
Atlanta Hawks,0.8310769,1.14,Indiana Pacers,0.16892308,5.62
Atlanta Hawks,0.5440831,1.75,Denver Nuggets,0.45591688,2.08
Atlanta Hawks,0.5816244,1.63,Houston Rockets,0.4183756,2.27
Atlanta Hawks,0.34801772,2.73,Washington Wizards,0.6519823,1.46
Atlanta Hawks,0.5187524,1.83,Milwaukee Bucks,0.4812476,1.97
