Home,Home Win %,Home Odds,Away,Away Win %,Away Odds
Atlanta Hawks,0.79864806,1.1895101,Cleveland Cavaliers,0.20135194,4.7181067
Atlanta Hawks,0.11730636,8.098453,New York Knicks,0.88269365,1.076251
Atlanta Hawks,0.26096,3.6404045,Philadelphia 76ers,0.73904,1.2854514
Atlanta Hawks,0.7843388,1.2112113,Milwaukee Bucks,0.21566123,4.405057
Atlanta Hawks,0.77765167,1.2216266,Toronto Raptors,0.22234833,4.272575
Atlanta Hawks,0.3835234,2.4770327,Toronto Raptors,0.6164766,1.5410155
Atlanta Hawks,0.65036744,1.4607128,Orlando Magic,0.34963256,2.7171383
Atlanta Hawks,0.7071622,1.3433975,New York Knicks,0.2928378,3.2441168
Atlanta Hawks,0.5614167,1.6921477,Philadelphia 76ers,0.4385833,2.166065
Atlanta Hawks,0.7693798,1.2347608,Detroit Pistons,0.2306202,4.1193266
Atlanta Hawks,0.71058655,1.3369236,Boston Celtics,0.28941345,3.282501
Atlanta Hawks,0.534355,1.7778443,Orlando Magic,0.46564502,2.0401807
Atlanta Hawks,0.37878045,2.5080492,Dallas Mavericks,0.6212195,1.52925
Atlanta Hawks,0.36984584,2.5686378,Los Angeles Clippers,0.63015413,1.5075676
Atlanta Hawks,0.8285157,1.1466289,Cleveland Cavaliers,0.17148429,5.539866
Atlanta Hawks,0.3303202,2.875997,Oklahoma City Thunder,0.66967976,1.4185885
Atlanta Hawks,0.48279846,1.9676946,Washington Wizards,0.51720154,1.8368082
Atlanta Hawks,0.90928036,1.0447823,Los Angeles Lakers,0.09071964,10.471823
Atlanta Hawks,0.8999449,1.0556202,Sacramento Kings,0.1000551,9.494769
Atlanta Hawks,0.977216,0.97214943,Utah Jazz,0.022783995,41.69594
Atlanta Hawks,0.7117759,1.3346897,Charlotte Bobcats,0.2882241,3.2960463
Atlanta Hawks,0.20310454,4.6773944,Golden State Warriors,0.79689544,1.1921263
Atlanta Hawks,0.91900593,1.0337256,Indiana Pacers,0.08099407,11.729254
Atlanta Hawks,0.45051846,2.1086814,Houston Rockets,0.5494815,1.7289026
Atlanta Hawks,0.14096971,6.739036,Brooklyn Nets,0.8590303,1.1058981
Atlanta Hawks,0.5760597,1.6491346,Miami Heat,0.4239403,2.2408814
